id,name,comment,rating,review_date
1,Raúl Elfoual Moreno,"Bancos cojos, poleas rotas casi siempre, poco mantenimiento de las máquinas con placas… Y lo peor de todo, no te permiten ocupar más de 2 máquinas si estás haciendo una triserie, vienen a decirte de malas maneras que la descargues porque hay más gente que la tiene que usar, cuando el resto del gimnasio está así de desordenado y no le dicen nada a nadie, solo justamente hoy a mí. Una vergüenza el trato y las instalaciones cada vez van a peor.",1,Hace un mes
2,Viviana Moradel,"“Dreamfit es un gimnasio que realmente marca la diferencia. El personal es increíblemente amable y atento; en especial Douglas, que siempre está dispuesto a ayudar y motivar. Las instalaciones se mantienen impecablemente limpias, algo que se agradece muchísimo al entrenar. Un lugar donde te sientes cómodo, bien atendido y con muy buen ambiente. ¡Totalmente recomendado!”",5,Hace 2 semanas
3,Helena García Hidalgo,"He estado en gimnasios de toda clase y, después de 3 años en Dreamfit Ventas, puedo decir que es el mejor en calidad/precio de todos los que he visitado. Espectacular tanto en máquinas, zona de peso libre (esto es brutal), mantenimiento, limpieza e instructores de clases colectivas. Si tengo que poner un pero, diría que a los horarios de las clases de la tarde hay que darles una vuelta 😃",5,Hace 3 semanas
4,Killa Tedesqui,"Ya llevo un tiempo razonable para poder poner una reseña, así que ahí va;
El gym está muy bien en general, aunque por las tardes-noches está muy lleno, por eso yo prefiero (si puedo) venir por las mañanas o mediodías. Los monitores y personal son muy majos y profesionales, me encantan especialmente Javier, Douglas y Bruno, ¡Le ponen muchas ganas y pasión a su trabajo! En baile me encantan Cristina y Luis, aunque ya no coincido mucho en clases de baile con ellos. Y en recepción Adrián es un encanto, educado y resolutivo, Alejandra de limpieza otro encanto, el vestuario de chicas siempre está impoluto, demasiado maja y profesional, y siempre con una sonrisa y amabilidad.
Por todo ello y ellos considero que este es un muy buen gimnasio. Gracias!",5,Hace 5 meses
5,Javier Perillan,"Acabo de darme de baja por qué el cuerpo (y mi horario) cada vez me responde peor, pero estando apuntando desde que abrieron puedo decir que es de los mejores y más completos gimnasios que encontraréis.
De los DF que he visitado, todos están  muy bien, pero la cercanía y el tamaño de las instalaciones de éste son ideales.
Las maquinas de calidad y con buen mantenimiento, no he visto averías de semanas, ni asientos y apoyos rajados por todos lados.
Sauna y baño turco disfrutables.
Amabilidad de los monitores (de los entrenadores personales, que serán los que van ""ofreciéndose"", como pone un comentario, no puedo opinar, no he usado sus servicios)
Lo malo, no todo va a ser bueno: a ciertas horas hay mucha gente, puede ser un poco agobiante si vas con una rutina de maquinas concretas. Lo peor de todo es el comportamiento de mucha gente...que no te quita los discos al acabar, que suelen ser los mismos que no saben la diferencia entre un bañador y unos calzoncillos en la zona de sauna (y habría que darles un toque...un cliente no (además entre que voy sin gafas y con cascos paso).
Muchas gracias por ser mi gimnasio estos años y espero poder volver, quizá, algún día",5,Hace 2 meses
6,Miguel González Fernández,"En los últimos meses este gym ha mejorado mucho: instalaciones decentes, máquinas buenas, monitores simpáticos, etc. He decidido cambiarme de gimnasio porque alrededor hay varios con precios algo más asequibles. El extra de dreamfit podría justificarse si usas mucho la sauna, pero no es mi caso, así que he decido darle una oportunidad a otro gimnasio del barri.

Por poner algo que se pueda mejorar: el volumen de la música en algunas clases, sobre todo de spinning; es demasiado alto.

Quiero destacar positivamente a los monitores, sobre todo a Luis, Mara, y otro chico que no se como se llama (¿Jesús quizás?), el que es igualito que el escritor Brendan Leonard. Muy muy profesionales.

Un abrazo a todos",4,Hace 2 meses
7,IGNACIO LOUZAN,"Muy buen gimnasio. Muy grande y amplio, con gran variedad de horarios y clases. Me gusta mucho la sauna y que tengan secadores de pelo y fuentes de agua fresca. Es el más grande del barrio.Hay una báscula para poder pesarse.",5,Fecha de edición: Hace un mes
8,Melvin G,"Buen gimnasio me encanta que el espacio sea amplio y bien aprovechado, además de la variedad de máquinas y clases disponibles, que se pueden gestionar fácilmente desde la app dreamfit.
El aforo puede ser en ciertas horas puede complicar un poco el entreno, pero por las mañanas suele estar mas vacío y se entrena bien.",4,Fecha de edición: Hace 10 meses
9,Sergio Miguel,"Estuve hoy por la mañana visitando el gimnasio y me atendió Iván muy profesionalmente y con claridad. Las clases, como reservarlas, el funcionamiento de algunas máquinas, etc.
Muchas gracias por la atención tan buena, Iván!!
No pongo 5 estrellas porque me pareció que había muchos usuarios para ser agosto por la mañana.",4,Hace 3 meses
10,Samuel Adarraga (Caballero negro),"Es un gym muy bueno tiene diferentes tipos de máquinas y eso ayuda bastante para nuestro entrenamiento.

Los monitores son muy majos en sus clases, la limpieza está bastante bien

Lo que no parece es el trato a sus trabajadores de limpieza hace 3 días estaba entrenando y director del centro le hablo falta a los chicos de limpieza
Ya son varias veces que escucho
Y siempre les habla muy bruco
El trato no es debido
Ya  ellos se esfuerzan en manter las instalaciones  limpias y hay personas que no cuidan el trabajo muchas gracias a mejor sus trato  sus empleados",2,Hace 5 meses
11,Danadra Soluciones SL,"NigthmareFit… la verdad que llevo un año en este antro pero esta semana me borro. Los monitores solo se pasean… están ahí para vender clases personales, son unos charlatanes que están todo el día dándole al pico. La sauna y el baño de vapor se encienden sobre las 7:30 de la mañana y no cogen temperatura hasta las 9, es decir, yo que voy por la mañana no puedo usarlo y estoy pagando por ello. El otro día fui más tarde y el baño de vapor estaba encharcado y con mierda… nos hemos comido una reforma de 3 meses para que todo siga igual de mal y las duchas oliendo a cloaca. Arrivederci",1,Hace 7 meses
12,Pablo Hernandez Blanco,"Gimnasios estupendos de esta cadena. Pero, me surge una duda: de qué material están hechas las pulseras?? Están en constante contacto con la piel... (!!) Se podría actualizar este proceso??",3,Hace 2 meses
13,Marina Bejarano,"Estuve hace tres años apuntada durante 9 meses y todo bien. Hace poco quise volver entrando con Gympass, al acceder me dijeron que tenía una cuota sin pagar de 2021.. casi llamándome morosa 😅 finalmente me la cancelaron pero sí que me hicieron pagar 4€ por gastos de gestión. Me decepcionó bastante la gestión, creo que ha cambiado bastante y no sé ni si volveré a ir",3,Hace 7 meses
14,Pedro Sanz,"Este gimnasio es un sueño hecho realidad. El equipo es de primera clase y las clases son variadas y emocionantes. Lo que realmente me cautivó es la comunidad aquí. Los entrenadores son geniales y siempre me motivan. No puedo esperar para volver. ¡DreamFit, eres lo mejor!

Pedro Sanz García",5,Hace 2 años
15,Víctor N,"Gimnasio amplísimo, personal atento y amable.
Máquinas technogym de todo tipo.
Se echa en falta algún juego más de discos calibrados y un rack/banco de Powerlifting ya que por espacio sería posible y algunos de la competencia están más preparados para ello. Se entiende que no es un centro específico pero no lo veo descabellado.",4,Hace 5 meses
16,Daniel Caceres,"Tras años en el gimnasio he visto que la calidad ha bajado de manera notable. Los usuarios no desmontan las máquinas y se ha vuelto tan insidioso el problema, que lo hacen en las narices de los monitores y estos ni se percatan. Tanto así, que hasta los entrenadores personales de la mañana lo hacen. Y luego está el equipo que requiere mantenimiento…",2,Fecha de edición: Hace 4 meses
17,ISABEL AUERNHEIMER,"Gimnasio grande y con muchas máquinas y opciones de clases pero en los últimos meses está muy saturado de gente y puede llegar a ser incómodo entrenar por la tarde.
También noto que hay cosas a las que no prestan atención, como la máquina de agua muy fría, que lleva rota hace unos dos meses y nadie ha decidido arreglarla.",3,Hace 6 meses
18,Ana G,"Llevo más de dos años yendo, y me encanta, tanto por la variedad y los horarios de las clases, las máquinas, a horas puntas están masificadas, por lo que hay que adaptarte. Que incluya secadores para el pelo y que la taquilla funcione con la pulsera me parece un plus.",5,Hace 7 meses
19,Nel Alvarez perez,Son 45€ al mes hay gimnasios mucho mas baratos. Hay personas k por semana o fines de semana solo podemos ir de tarde noche. Muchos gimnasios abren toda la semana me parece y hasta mas de las 23:00 me parece una basura el horario. Con lo que cuesta al mes.,3,Hace 5 meses
20,Marian Dominguez,"Es posible sentirse como en casa en un Gym? Sí, en Dreamfit eso es posible.
He probado gimnasios en varios países y ni hablar de cuántos fui a conocer el día que me apunté hasta que llegué a Dreamfit Las Ventas, no seguí buscando porque lo tiene TODO máquinas muy buenas, suele estar muy limpio, monitores super majos y en general un ambientazo super agradable que te motiva a progresar!

Nunca me ha faltado ningún implemento para mis entrenos y, por si fuera poco, tienen una parrilla de clases dirigidas imperdibles y muchas de LesMills

Dreamfit Las Ventas? Lo recomiendo hasta el fallo 😁",5,Hace 2 años
21,Mariano López Serrano,"Llevo 1 año en el gimnasio, las instalaciones son fantásticas pero no hay quien entrene por la tarde. Sólo se puede ir por las mañanas",3,Hace 3 meses
22,Xio Cárcamo,"Personal poco calificado,no saben el reglamento o condiciones de permanencia o Fechas exactas de cuando darse o no la baja de  este establecimiento,información contradictoria entre empleados,Araceli da una información y otro compañero otra,quien será el deficiente,no se sabe.,deberían de darle una vuelta y preparar,supervisar más al personal,!",1,Hace 3 meses
23,AsessiN Arabe,Excelente gym muy amplio con variedad de máquinas para uso super bien ubicado recomendable,5,Hace 8 meses
24,Mihail Ion,"Hoy casi deciden expulsarme de Dreamfit, y quiero compartir los motivos.

Primera ""sanción"": Salir a las 15:00 en punto un domingo. De un día a otro, empiezan a sancionar por esto sin avisar, y no dan ni un minuto de cortesía. Te sancionan aunque salgas a la hora exacta.

Segunda ""sanción"": Grabar mi entrenamiento. Lo prohíben sin previo aviso, todo porque alguien se quejó de que la grabaron. Desde entonces, la gente sigue grabando sin problema, pero los monitores no intervienen. Si te pillan, te sancionan.

Tercera ""sanción"": Me enfrento con educación a un grupo que decide ponerse en mitad del pasillo, justo al lado mío, charlando a gritos durante media hora. La sanción me la llevo yo, por usar el gimnasio para entrenar.

Hablo con el director, y me dice: ""el gimnasio es para entrenar"". Le respondo: ""¿Entonces no es una cafetería? La gente viene aquí a todo menos entrenar"". Básicamente, me dice que eso es lo que tienen como clientes.

Mucha otra gente que conozco, que se toma en serio lo de entrenar, también se ha quejado por lo mismo y por otras situaciones. Un día que se te olvida la toalla, un simple error, y ya empiezan a sancionar.

Lo peor es lo que la gente seria tiene que aguantar: grupos que no entrenan, personas inventando ejercicios en máquinas para lo que no son, o los que ocupan equipos enteros y no comparten. Esto hace que entrenar sea imposible.

Si lo que queréis es lidiar con estas situaciones y que no os dejen entrenar, con la incoherencia de dirección incluida, Dreamfit es vuestro gimnasio. Para todo lo demás, elegid cualquier otra cadena.",1,Hace un año
25,Francisco javier Benito,"Hasta el 31 de diciembre de 2024 sigo en el gym…. Pero salgo corriendo … donde un tal D.Jorge González… me imagino que gerente o supervisor aún no conoce lo que es el IPC,  y lo que es aplicar un 2% para el 2025 algo lógico,  y aplican subidas por encima del 6%….y así los últimos 6 años…. Porque si… y si añadimos que la sauna estuvo 3 meses sin funcionar un poco caos y ambas salas muy sucia, que solo limpian lo que se ve, gimnasio muy masificado y  con monitores muy majos, pero no he visto rectificar una postura ni ayudar a los novatos …. Creo que se aprovechan de los  deportistas y los jóvenes y sus imposiciones porque si….  Pero en esos precios y por debajo ya hay álternativas mucho mejores…
Se merecen que se salgan 200…. Felices Fiestas !!&",1,Hace 11 meses
26,ccagigal,"No suelo realizar recomendaciones, llevo entrenando muchos años en gimnasios y centros deportivos pero siempre en un perfil bajo y cuasi anti-social: ir a entrenar solo, relacionarme lo mínimo e irme.
Después de ya varios años de estancia en el Dreamfit Ventas y debido a un suceso reciente, lamentable y desafortunado, que se resolvió con una profesional gestión del problema por parte de la dirección del Dreamfit, si me voy a tomar la licencia de opinar sobre este gimnasio.

Llevo varios años en este gym, desde el periodo Covid-19. Dreamfit Ventas es uno de los gym que utilizo en Madrid por su buena ubicación dentro de mi ámbito profesional y personal. La relación calidad-precio es excelente atendiendo a instalaciones y personal: buenos monitores y personal trainer (Douglas, Adrian, Javi, Araceli, Mara, Luis, Álvaro, Joel...) , equipo muy dinámico y buena predisposición con los socios. La dirección del centro, bajo mi experiencia, solo puedo decir que ha sido muy profesional en las distintas situaciones en las que me he visto involucrado.

El ambiente en este gym también es, en general, de lo mejor que me he encontrado en mis años, que ya son unos cuantos, frecuentando gimnasios y centros deportivos: buen ambiente entre socios y usuarios, buen rollo y la creación de ""grupos"" consecuencia de ese buen ambiente.

La única mala situación que he tenido en todo este tiempo, por lo que me tocó presenciar y lo lamentable que fue, ocurrió hace un par de meses: estando de charla con dos amigas en una zona fuera de máquinas, en el pasillo de las ""fuentes"", después de unos minutos de comentarios graciosos entre nosotros, tuve que presenciar a un usuario como en actitud agresiva y con comentarios ofensivos, increpaba gesticulando de forma agresiva a mis dos amigas: que si les estaba taladrado la cabeza, que les estaba molestando, que si al gimnasio no se iba a hablar...
Cuando intento dialogar con ese usuario, no solo no rectifica en su actitud y comentarios si no que los reafirma y se enfrenta conmigo.
Posteriormente mentiría e intentaría manipular sobre lo ocurrido a los responsables que había en ese momento. La situación no pasa a mayores por la intervención de uno de los monitores. No sólo realiza comentarios ofensivos si no que en la situación actual serían hasta denunciables.

Cuando interviene la dirección del centro y me consulta, solo les pido que analicen las ""grabaciones"" de las cámaras. No necesité argumentar mas. El suceso lo gestionaron hablando con el usuario y apercibiendole de sanción y de que esos graves sucesos no volvieran a ocurrir. El usuario parece ser que abandonó el centro pero intentó dedicarse a desinformar sobre lo ocurrido e intentar realizar malos y falsos comentarios sobre el centro.

Mi recomendación, personal-subjetiva, es que probéis en este gym 2-3 meses y luego valoréis. Buen equipo, buen ambiente, excelentes instalaciones, sauna y baño de vapor de obligado uso... por poner un ""pero"" sería que antes teníamos un parking a precio muy económico y por tiempo ilimitado pero por el abuso y mala utilización de algunos usuarios, se canceló.",5,Hace un año
27,Miguel Jimenez,"El otro entreno que ayuda a hacer las carreras con #carrosdfuego
#dreamfit Fortalecer piernas y cuerpo es vuesta labor y estoy orgulloso de vuestro papel
Y si alguien quiere ser impulsor en alguna de nuestras carreras estaremos muy felices de integrarlo a nuestra familia de carrosdefuego",5,Hace 2 años
28,Jorge Salas,"Es muy bueno el gym mejor algunos horarios que otros pero definitivamente bueno
Y las clases recomendadas",5,Fecha de edición: Hace 3 meses
29,Paloma Sanz,"Muy buen gimnasio. Muy grande y amplio, con gran variedad de horarios y clases. Los monitores son buenos.
La única pega que es complicado coger las clases de pump, están muy solicitadas.",4,Hace 10 meses
30,argenis cortez,"Amplio casi todos los equipos y más para entrenar, ambiente agradable y hay para todos los gustos cardio pesas maquinas diversas salas de clases grupales",5,Hace 4 años
31,Mario,"Muy buena atención por parte de Bruno !! Era mi primera vez en el gym y me explicó todo a la perfección. El gym está muy bien , tiene todo lo necesario para entrenar 🏋️…",5,Hace 7 meses
