id,name,comment,rating,review_date
1,María Oliva Guzmán Sánchez,"Mi hijo va a este gimnasio y el mantenimiento es nulo. Máquinas estropeadas durante semanas. Eso si, todos los años me toca pagar una cuota más alta.",1,Hace un mes
2,Luisa Fernandez,"Quiero agradecer y compartir con la dirección de este centro, la dedicación,profesionalidad y cariño de dos sus empleados, Andrea de natación y Alejandro socorrista.hacia mis dos nietos gemelos en su curso de natación. Mil gracias",5,Hace 2 meses
3,Elena Garcia,"Pésimas instalaciones y cada vez más y más caro. No sé dónde destinan el dinero de los incrementos de las cuotas porque desde luego el tema vestuarios deja mucho que desear. La mayoría de las taquillas no funcionan, eso cuando no se te bloquean con tus cosas dentro a y tienes que pedir que vengan a abrirlas. Que salga agua de la duchas y caliente es una lotería. Y no que decir de la dirección que hay, cuando vas a comentar algo se pone a la defensiva y se lo toma a modo personal y deja mucho que desear en su trato al cliente. Si pides opiniones apechuga con lo que te digan porque para regalarte los oídos y mentir mejor no mandar encuestas",1,Fecha de edición: Hace un mes
4,jesus sanchez,"levo siendo cliente desde hace mas de 3 años. El gimnasio, las instalaciones y el personal están muy bien. No le doy más estrellas porque en los últimos seis meses ha aumentado mucho la afluencia de personas: el gimnasio suele estar demasiado lleno y el aparcamiento también.",3,Hace una semana
5,Jon Poling,"Mi experiencia ha sido nefasta. Me han parecido unos ladrones. Contraté un mes en el gimnasio para probar. Cuando llegué al gimnasio todo fueron facilidades, dije que queria probar un mes y luego ya vería. Me dijeron que sin problema. Sin embargo, mes he encontrado grado con que me han pasado recibos por dos meses más, en los que no fui al gimnasio, y me dicen que es porque no comuniqué la baja, cuando al contratarlo ya dejé claro que solo era por un mes y si me gustaba ya vería si renovaba. Nadie me dijo al contratar que tenía que comunicar la baja. Me siento estafado.",1,Hace 3 meses
6,David Madrid,"Buenas noches, soy David de Madrid, socio de Go Fit Peñagrande.
Recientemente, he tenido que ir a pedir información al Go Fit de Montecarmelo.
En la recepción, me ha atendido Dayana.
Quiero dejar constancia del buen trato recibido por parte de ella.
Muy atenta a todas mis dudas, implicada en darme toda la información que necesitaba saber.
También recalcar la preocupación por la buena estancia de los usuarios de este centro y otros, y sobre todo, una atención personalizada y muy cercana.
Dá gusto encontrar personas así, sobre todo ha día de hoy que casi todo lo hacen las máquinas.
Muchas gracias Dayana, ha sido un placer ;)",5,Hace un mes
7,Jorge P Abejas,"De vergüenza las instalaciones.. a pesar de que las cuotas no paran de subir el estado de las instalaciones es penoso.. de las taquillas más de la mitad están rotas o no funcionan.. las duchas tienes que jugar al pinto pinto para encontrar una que funcione y tenga agua caliente.
El director que han puesto chulo y prepotente se mucho cuidado, que sabe muy poco se atención al cliente.. vamos miles de opciones con mejores instalaciones y más baratas que estas.. y para colmo para un socorrista amable y eficiente que había yAlejandro pues parece que ya no está por culpa de una madre mal educada y cuyo hijo se caga en la piscina..",1,Hace un mes
8,Pvl LC,"Precio caro para lo que ofrece, al menos en comparación con otros go fit de Madrid. A parte que, al menos en la zona de musculación, las máquinas están bastante descuidadas y viejas.
Necesitan renovar y/o arreglar las que están dañadas, que no son pocas.

Llevamos meses y meses con una fuente estropeada. De verdad, ¿tanto cuesta arreglarla?

El letrero rojo debe estar cogiendo telarañas ya (adjunto foto). También convendría distribuirlas por toda la sala, no poner las 3 en el mismo sitio.

El resto bien, piscina, parking gratuito, clases, personal atento.",3,Hace 6 meses
9,Paloma Ubeda Mansilla,Me encanta la zona de la piscina. Un plus la socorrista que tienen. Trato genial con los clientes y dispuestos ayudar siempre sin un mal gesto. Un lujo la zona de aguas.,5,hace 6 días
10,Andres de diego ojeda,"El Gimnasio está bastante bien, desde verano ha mejorado varias cosas que hacían falta, hay máquinas nuevas y está más ordenado. Es una pena que no abran a las 6:00 como si hacen otros Go fit, que por ejemplo tengo un par de conocidos que no se apuntan porque 6:30 a ellos no les da tiempo a ir a currar y me imagino habrá más gente igual...hay que mover ese horario!!!!",4,Hace un mes
