id,name,comment,rating,review_date
1,MEC CEM,"pongo la reseña en este centro de Príncipe de Vergara, pero lo hago extensible a toda la compañía. Este monstruo del deporte, que nació en los 80 y creó renombre, estilo diferenciado, con clase y elitista, se ha convertido en lo más ""cutre"" del universo fitness, tanto a nivel empresa, como a nivel trabajadores. Tiene normas que son abusivas, como tener al personal (que hace sala y recepcion) detrás de el mostrador, sin poder sentarse (6/8 horas), antes y después de los entrenamientos, sin opción de descansar un rato; tiene cámaras grabando sin la autorización de derechos de imagen, las retribuciones las realizan 2 meses después del mes trabajado y sin pagar las horas reales; horas que ellos mismos solicitan al personal, de un día para otro, sin respetar la situación personal de cada uno. Que pena, que un grande, se haya convertido en uno más, pero uno más de los de abajo, de los malos, de los no recomendables.",1,Hace un mes
2,Karavo_113,"Muy buen gimnasio, solo tengo un par de críticas constructivas. Llevo más de un año llendo y en ese tiempo han ampliado considerablemente el material haciendo que hasta en horas puntas suela haber máquinas disponibles para el entreno que corresponde.

Aunque si se puede dejar unas críticas constructivas, si alguien del staff ve este comentario, lo más difícil es encontrar bancos reclinables libres, tan solo hay 4 o 5 y mucha gente los utiliza, además ocupan poco, supongo que son más baratos que las maquinas y muy útiles para todo tipo de ejercicios. Estaría bien que comprarán algunos más, es de los pocos fallos que le veo.

Por otra parte, la iluminación de la zona de abajo, donde están las maquinas de cardio y los cruces de poleas es muy tenue y de color verdoso por los led, a veces cuesta ver y desde mi punto de vista no es un ambiente correcto para hacer ejercicio. Si pudieran poner más iluminación en esa zona sería estupendo.

Para mí es un gimnasio de reseñas de 5 estrellas a excepción de estos dos puntos, si atienden estos problemas no dudaré en darle esa puntuación. En cuanto al resto, enhorabuena por la gestión del local.",4,Hace 2 meses
3,Itziar,"El gimnasio está muy bien, siempre me ha gustado bastante. En los últimos meses han aumentado el material para hacer peso libre y han apiñado el resto de máquinas. Están tan juntas que tienes que andar con mil ojos para no darte en la cara, ya que entre algunas no hay casi hueco para pasar.",3,Hace 5 meses
4,Ian Rus,"Está todo echo una mierda, me he tirado 10 minutos para encontrar unos discos, hay solo 3 bancos para hacer peso libre, todo sucio, los chicos que “trabajan” aquí solo saben estar con el teléfono en la recepción o hablar con sus conocidos de aquí, porque lo que es tener las cosas colocadas eso no lo hacen, he pagado una pasta por 5 meses y es la peor decisión que he podido tomar, he ido a otros hollidays y están el triple de mejor que este.",1,Hace un mes
5,Wilmer Muñoz,"Totalmente unos abusadores, para matricularte te dan mil y una alternativas y te pintan todo de mil maravillas, estoy intentando tramitar mi baja por fuerzas mayores ya que me he mudado de Madrid y tengo dos meses sin ir, aun así me acerco al gimnasio solicito mi baja el día 3 o 4 de abril el chico me dice que no puede hacerlo ya que tenía inconveniente con el sintema, me dijo hazlo por la página y lo hago y me han dado respuesta a la semana de que no es posible y me han cargado el cobro de 3 meses que era mi suscripción, he solocitado mi reembolso y aún no obtengo respuesta ni la baja. Ósea aún haciendo en el tiempo que supuestamente es que le permite el sistema no lo hacen igual ? Que me están contando ? Total abuso y falta de respeto",1,Hace 6 meses
6,GCE,"Cuando llega el VERANO  SIEMPRE SE ROMPE EL AIRE ACONDICIONADO, que  casualidad...y lo arreglan a finales de septiembre cuando ya no hace calor...que casualidad también...

Y en invierno...pues también se les rompe la calefacción...q cosas más raras oiga!!!!!....NOS TOMAN POR TONTOS...NO PONEN LA CALEFACCIÓN....ES UNA AUTENTICA VERGÜENZA...HOY A 14° GRADOS ESTÁBAMOS DENTRO HELADOS....Aporto fotos hechas hoy mismo de la temperatura en distintas partes del gimnasio...ESTAMOS HARTOS!

No hay una sola cinta de correr que funcione correctamente, a todas les falla el ventilador...son las mismas máquinas con las que abrieron el gimnasio...tienen más de 20 años...",1,Fecha de edición: Hace 2 años
7,Javier Iglesias,"Lo mejor del gimnasio: es grande y muy completo en máquinas. No llega a estar nunca demasiado lleno. Está limpio y los vestuarios son grandes tambien Lo peor: las maquinas ya empiezan a estar antiguas y algunas rotas. Esto es un mal endémico de la cadena, poca inversión y obsesión por controlar el acceso al gimnasio, hasta lo absurdo. Si te olvidas la tarjeta literalmente amenazan a los clientes, con frases del tipo ""está es la última vez que te olvidas de la pulsera"" te dicen que te vayas a casa sin entrar y arreglado. Es una cadena barata esto sí. Lo barato se nota.",1,Fecha de edición: Hace un mes
8,Nico Fletcher,"primero me dijieron que era 10 euros duespues lo subieron a 15 y tuvieron todas las oportunidades de decirme que no funcionaba el sauna y no me lo dijieron hasta despues. estafa, mal hecho",2,Hace 5 meses
9,Marisol Villanueva,"Ya que están haciendo tantas reformas y comprando nuevas máquinas, podrían reactivar la sauna. Es una pena que esté todo montando y no podamos hacer uso de ella después del entrenamiento.",3,Hace 4 meses
10,Juan Saez,Se nota que la persona que ha montado el gimnasio no ha ido a uno en su vida. Solo hay dos press banca y mil máquinas de correr que no utiliza nadie. Me parece increíble que tengas que ir presencialmente a darte de baja.,1,Hace 7 meses
11,alex sanchez,"El gimnasio está descuidado, viejo en muchas zonas, las máquinas super antiguas casi todas, se ve sucio en muchos sitios. Los baños muy cutres, no suele haber jabón ni papel. En verano te mueres de calor, no tienen el Aire Acondicionado como deberían. No disponen de material como cuerdas de triceps, barras, hay que hacer cola para cogerlas. Es lamentable con el precio que tiene, y una pena por su ubicación. Para terminar el acceso a las instalaciones es de la edad de piedra, con una pulsera y huella que muchas veces no funciona. No lo recomiendo.",1,Hace 10 meses
12,Sthepanie Da Costa,"Hoy vi en el baño de mujeres como una chica del personal de Holliday gym trataba fatal a la señora de limpieza, le gritaba de malas formas. Me parece inaceptable que estas cosas sigan sucediendo. Espero este comentario ayude a que estas cosas no se repitan, nadie merece ser tratado así.",1,Hace 6 meses
13,sebastian heredia herreros,"Falta que abran la sauna, sería una buena mejora para este gimnasio y prácticamente tendría de todo.",3,Hace 3 meses
14,Sergio Barragan,"Tiene muy buenas instalaciones, muy amplio, con productos para limpiar anti COVID y controlando todo el rato a los clientes la temperatura. Los monitores gente malgisima que se desvive para entrenarnos 👏🏼👏🏼🥳🥳…",5,Hace 4 años
15,Pedro R.C.,"Mucho cuidado con este gimnasio. Mucha facilidad para darte de alta pero a la hora de darte de baja, te van a poner mil problemas, de hecho en mi caso me han cobrado 3 meses más aún solicitando la baja tanto presencial como por correo electrónico. Entre otras cosas me piden un documento oficial para justificar mi baja, que os parece?. Tengo pruebas de ello. Todo aquel que dude que se ponga en contacto conmigo. !!!Consejo!!!. Jamás os deis de alta usando una tarjeta, ese es el error. Te van a pillar por por ahí, ya que saben que no puede anular un cobro hecho de esta manera. Si te ponen pegas a la hora de pagar de otra manera, simplemente elige otro gimnasio, en la zona hay mil mucho más legales que estos estafadores. Además con mejores bicicletas de spinning que están destrozadas y sobre todo sin olor a desagüe. En ocasiones es insoportable.
Como veis, me contestan con muy buenas palabras y con un proceso que parece sencillísimo darse de baja, pero ahí tenéis las pruebas de que te exigen hasta documentos oficiales para poder darte de baja. Repito, hay cientos de gimnasios en Madrid. Cualquiera de ellos seguro no os ponen ninguna traba a la hora de darte de baja. Mucho cuidado. Que no os estafen como han hecho conmigo.",1,Fecha de edición: Hace un año
16,David ramirez,"No es ni medio normal que no pongan el aire acondicionado en pleno verano. es inhumano entrenar en este gimnasio.
UNA VERGUENZA",1,Hace 5 meses
17,Jor ホルヘ,"Diego, el monitor del fin de semana, hace un trabajo excelente. Se dedica muchísimo a mantener la sala en perfecto orden, lo que hace que nuestro tiempo de entrenamiento sea mucho más eficiente. Siempre está atento y dedica mucho tiempo a asegurarse de que todo esté bien colocado y en su sitio. Su dedicación es evidente y realmente marca la diferencia en la experiencia de entrenamiento. Sin duda, le pondría un 10 por su gran trabajo. ¡Gracias, Diego!",5,Hace un año
