id,name,comment,rating,review_date
1,ELMUT fitness,"Uno de los mejores gimnasios que hay en Madrid, llevo 8 años entrenando allí y ahora que lo han reformado, máquinas nuevas, salas nuevas, luces nuevas, está espectacular. Estaría bien que tuviera una sala de descanso, para tomar el batido o tu táper de comida.",5,Hace 4 semanas
2,Bryan Steve Villanueva Aranda,"El gym ya ah sido bastante bueno.... y ah hecho un cambio en máquinas y organización bastante geniales la verdad es un gym bastante moderno ,  esta guay , me gusta el diseño y todo . Tiene mejores maquinas nuevas que creo muchos anhelabamos , se nota el gran trabajo y los monitores muy majos!!! La verdad llevo bastante tiempo ahi y la verdad a gusto ...espero no se tome a mal si no para mejor pero tristemente ,no hay control al recibir gente , ya no se puede entrenar y siguen recibiendo !!!!!! por no decir que es casi imposible tener una máquina,   ahora hay que tener cuidado con los horarios que uno tiene para entrenar porque un entrenamiento de una hora puede ser 2 . Ojala me equivoque , pero creo que no están teniendo conciencia con los aforos , eso que hablo de dia , porque por la noche , tan solo ingresar y ver,  se nota que sera realemente imposible entrenar. Es una pena , ojalá estén pensando en controlar eso elegir entre cantidad o calidad de entrenamiento. Ya eh visto a muchos cambiarse por esa razon y da pena porque es un buen gym ! Espero cambie! :)) todo lo demás,  genial !!!",3,Hace un mes
3,Paula,"PESIMA, la obra que están haciendo, el suelo en prácticamente todos el gimnasio sigue irregular, a lo que es obvio que puede perjudicar a la hora de entrenar, las máquinas viejas, la iluminación del gimnasio aparte de ser halógenos y dar calor, están poniendo focos puntuales que se usan en las galerías de arte, no son apropiados para un gimnasio, antes estaba mejor con más plafones, parece que se quieren poner la medalla con unos murales y poner carteles que son papel reciclado, no dan sensación de tranquilidad son muy ruidosos visualmente, en vede centrarse en suelo, máquinas, deciden cambiar paredes que ya ves a mi personalmente me parece que la pared no estaba para ""reformar"" y la gracia de los murales nos subireis la cuota en enero, pero las máquinas seguirán siendo las mismas, el gimnasio con aglomeración de gente? Me acuerdo el día que el gimnasio abrió y ahora ha desmejorado a pesar de cobrarnos 14e más al mes que ya me daría vergüenza",1,Hace 3 meses
4,Sofia Lozano,"Tras la Reforma el diseño de Iluminación ha empeorado ya que se puede hacer una luz estéticamente más bonita o generar otra imagen pero sobre una base de visibilidad,que es lo lógico,ya que en el gym se tiene que ver,por seguridad y comodidad a la hora de trabajar.
Éste cambio genera múltiples sombras que en muchos espacios apenas se ve y queda muy pobre.Cambios radicales de temperaturas de color en las luminarias entre otras cosas,pasando altos grados kelvin a muy  bajos ,los cuales se usan para inducir al sueño.Filtros neutros en las ventanas y reducción de lámparas de techo;lo que genera una sensación de estar de noche entrenando  y con un impulso a dormir independientemente a la hora diurna al entrar.
Es muy incómodo,ya que se ve muy mal y sobre todo por seguridad.En la zona de pierna tienes que intuir ,ya que apenas se ve,focos que se usan para exposiciones o pinturas de museos.Iluminacion puntual que nosé que objetivo tiene en un Gym,ciegan y no bañan el espacio.Es importante,ya que no hay nada como la luz natural,lamparas de luz fría y poder trabajar viendo claramente,ya que no todos los que vamos al gym tenemos 20 años.Luz de Discoteca o de Gimnasio?!!.
El Mural del Solarium demasiado saturado y estresante,intenso no relajante.
En Body Pump se ve poquísimo.En cuanto llegue el Invierno aunque vayas a las 9 de la mañana,sentirás estar a las 8 de la tarde dentro.No entiendo pq han empeorado la luz.Seria de agradecer lo valorarán ,ya que el resto de cambios han sido para bien y una cosa es ahorrar y la otra no ver.Ambas dos cosas son compatibles.",3,Hace un mes
5,Rocio Ruales,"Muy buen gimnasio, buen ambiente, y muy amplio para realizar tus rutinas. En cuanto a los monitores solo destacar a un chico que es nuevo y el otro día me ayudó en algo q no sabía y muy majo con su explicación, los demás te pueden estar viendo q lo haces mal q no te dicen ni mu, las cosas como son",4,Hace una semana
6,Silvia Blázquez,"El gimnasio DreamFit Villaverde ha dado un gran salto tras su reforma. Ahora cuenta con más máquinas en la zona de musculación, nuevas pesas para Body Pump, bicicletas renovadas y cintas de correr actualizadas. A esto se suma la mejora estética: suelo nuevo, vinilos modernos e iluminación con colores que hacen el ambiente mucho más motivador.

Sin embargo, como socia debo decir que lo que de verdad marca la diferencia es su equipo de monitores: cercanos, profesionales y siempre dispuestos a ayudar. Gracias a ellos, entrenar aquí es mucho más que hacer ejercicio: es sentirse acompañado y bien guiado.

Con buenas instalaciones, variedad de clases y un ambiente renovado, es un gimnasio totalmente recomendable tanto para principiantes como para quienes ya entrenan con regularidad.",5,Hace 2 meses
7,Javier Ruiz,"Ahí va mi humilde opinión. Los que hacen sala, se quejan de las clases colectivas, los de las clases colectivas se quejan de la sala, los hay que se quejan de la iluminación, de los nuevos vinilos, de la maquinaria, etc, etc, etc.....BLA BLA BLA
La realidad y hablando en términos generales es que DREAMFIT VILLAVERDE ha hecho una remodelación del centro brutal, muy bueno y muy costoso. Han renovado gran parte del material y maquinaria, tanto de clases colectivas como de sala. La gente, antes se quejaba y ahora se sigue quejando. Nunca puede llover a gusto de todos, pero, a día de hoy, este centro deportivo ha dado un salto de calidad muy importante con la remodelación. Además de esto, uno de sus mayores activos es el grupo de monitores que atienden la sala e imparten las clases colectivas. Yo, personalmente, me encuentro como en familia cuando estoy entrenando allí. Seguro que hay cosas mejorables, por supuesto, pero si me dicen hace 6 meses que iban a hacer esta reforma, no me lo hubiera creído. Por favor DREAM FIT VOLVERSE, podéis estar orgullosos de la reforma y así os lo hace saber uno de los socios..... NOS VEMOS ENTRENANDO🤗🤗🤗🤗🤗🤗🤗🤗🤗",5,Hace 2 meses
8,Paula,"INSISTO MINIMO EN LAS PEGATINAS, NO ES DINERO PARA UN GIMNASIO QUE ABUSA TANTO DE SU PRECIO Y NO HACE NI LO MÍNIMO
Es un gimnasio muy poco cuidado solo interesa el dinero, en sacar cada vez mas
Quería sumar las pocas clases que hay de pilates y yoga, no hay opciones de horario razonables, están infravaloradas
Hace meses puse la reseña y está claro que poco caso hacen, la actualizaré las veces que haga falta, BASTA YA DE QUE NOS TOMEN EL PELO, QUE BIEN QUE EN UNOS MESES NOS VOLVERAN A SUBIR LA CUOTA
Llevo desde que inauguró el gimnasio y en total ha sido una subida de 10 euros en 9 años, cosa que me parece una exageración, cada vez más máquinas pero el espacio es el que es y está el espacio muy masificado, te chocas con gente, los discos de 1'25 y 2'5 hay días que imposible conseguir ya que hay muy pocos para el uso que se dan, la música deja mucho que desear parece que vienes a un balneario por las mañanas , hay muchas máquinas en reparación, demasiadas máquinas de correr que a muchas horas apenas se usan, los vestuarios a pesar de que las limpiadoras un servicio de 10 porque limpio si esta, el problema es que no tiene ventilación, ni extracción ni nada lo cual hace que huela muy mal y se condense el olor y la humedad,las taquillas por dentro deterioradas, muchas subida de precios pero poca mejora, las máquinas guiadas no ve ven las pegatinas de los pesos, en muchas ya ni están, dan ganas de ir con un rotulador o pegatinas y ponerlo, no creo que cueste tanto..",1,Fecha de edición: Hace 5 meses
9,Noe Roldan,Me encantan las clases y las máquinas son todas nuevas!!Cambiadas hace un par de meses 🥰.  Son muy atentos los chic@s te facilitan las cosas todos los días y muy simpáticos estoy muy contenta de pertenecer a este gimnasio 💪🏻🩷…,5,Hace una semana
10,Ana Belén Amuedo Gómez,"Sinceramente voy porque me pilla al lado de casa y no pierdo tiempo desplazandome en ir a entrenar pero es el peor dreamfit en el que he estado. Las obras bueno... ESPERO (y deseo) que sea temporal el caos que hay con las obras pero ES QUE NO SE PUEDE ENTRENAR, no hay espacio, NO HAY MAQUINAS, una zona PETADISIMA de maquinas y la otra practicamente vacia... sin sentido. Ademas, estaria bien que dejaseis de aceptar a gente, el aforo lo teneis ya sobrepasadisimo, he ido a gimnasios donde literal no puedes apuntarte hasta pasado un año porque RESPETAN EL AFORO. Pagar 40 pavos para no poder entrenar, para no tener maquinas, tener que esperar 20 mins para usar una maquina, no poder pasar entre maquina y maquina... es un autentico robo. Vergonzoso la verdad.",1,Hace 2 meses
