id,text,y_true,y_pred,p_neg,p_pos,abs_margin,loss,near_threshold,low_coverage,has_contrast
9903,muy masificadas las clases,0,1,0.0,1.0,0.5,34.538776394910684,False,True,False
11695,muy bien me gusta,0,1,0.0,1.0,0.5,34.538776394910684,False,False,False
915,muy bueno,0,1,0.0006069802731411,0.999393019726859,0.4993930197268589,7.4070142663767,False,True,False
6909,el gimnasio no está mal pero llevan dos meses dando largas con la falta de aire acondicionado hace un calor que parece bikram gym no sé por qué no lo publicitan así escribes quejas a la página web ya que te dicen que lo hagas a través de ese medio y se pasan la pelota de unos a otros lamentable lo del aire acondicionado por lo demás bien actualizo la reseña a 17 10 2022 han puesto casi todas las luces de la sala de musculación azul si azul alegan que es por ahorro energético lo cual me parecería bien si no hubieran pintado las paredes hace unos meses de negro lo cual no refleja nada la luz y de ahorro energético poco,1,0,0.9985941749177752,0.0014058250822249,0.49859417491777525,6.567130901423391,False,False,True
12299,no esta mal mala experiencia personal con otros clientes que molestaban,1,0,0.9909026440764986,0.0090973559235014,0.49090264407649864,4.699771465536434,False,False,False
12388,personal maleducado,0,1,0.0096529510577281,0.9903470489422718,0.4903470489422719,4.640491601290317,False,True,False
1053,deshonesto,0,1,0.0124501538549309,0.9875498461450688,0.4875498461450691,4.386022298322002,False,True,False
12990,llego a hacer esta opinión hace un par de meses y les ponía 2 estrellas como máximo en primer lugar ha sido un puntazo por parte del dreamfit el hecho de abrir a las 6 de la mañana para las personas que trabajamos muy temprano nos viene muy bien ir a entrenar a esa hora ya que no está masificado y se nota que la gente viene a entrenar no a ponerse a hablar u ocupar máquinas durante un tiempo indeterminado como ocurre durante otras franjas horarias no obstante deberían controlar la cantidad de gente que se va apuntando cada mes porque el gimnasio está masificado en horas que debería estar medianamente normal cuando iba antes entre semana a la 1 de la tarde había días en los que era muy complicado coger un simple banco para hacer algún ejercicio a ver si va a ser que en este distrito la tasa de paro es tan alta que la gente se puede permitir ir al gimnasio a las 2 de la tarde y estar ahí tan tranquilamente 2 horas sin hacer nada más allá de hablar y ocupar espacio… mención especial a los trabajadores de la limpieza por cierto,1,0,0.9817419480921152,0.0182580519078846,0.48174194809211524,4.003149095821896,False,False,True
6626,2022 hace poco hicieron reforma y le sentó espectacular el gimnasio no tiene ventanas en prácticamente el 90 lo que lo hace un poco triste pero con la reforma supieron aprovecharlo con paredes negras y luces led a nivel de instalaciones y clases es muy completo sin embargo lo que ya va pidiendo reforma es el vestuario en invierno se pasa frío en las duchas que están casi abiertas porque la puerta es enana algunas duchas la puerta no se mantiene cerrada y se te abre encima mientras te estás duchando otras tienen el suelo abombado que se encharca y resulta poco higiénico las taquillas algunas están rotas pero no lo indica con ningún cartel te puede pasar que guardes tus cosas en un taquilla pongas el candado y no te des cuenta de que está mal cerrada hasta que vuelvas a intentar abrirla al final de la sesión por otro lado en junio de 2022 seguían sin abrir la sauna por covid cuando ya nadie llevaba mascarilla y habían recuperado la huella como método de entrada se ve que para unas cosas hay covid para otras no además habréis visto ya en el resto de comentarios la gincana que hay que hacer si te quieres despuntar que no se entiende en absoluto finalmente decir que a pesar de todo lo dicho no le pongo menos de 4 estrellas ya que he querido hacer una crítica lo más constructiva posible para que puedan mejorar todos estos puntos porque en conjunto está bastante bien y los trabajadores son todos estupendos edito 2023 han arreglado las puertas y el suelo de las duchas también han reformado la entrada y les ha quedado chula,1,0,0.9779218748457292,0.0220781251542707,0.47792187484572923,3.8131679726697905,False,False,True
12401,el gimnasio no está mal pero últimamente la música que ponen es solamente reguetón y realmente no es una música agradable para el entrenamiento al menos no para todo el mundo,1,0,0.9779218748457292,0.0220781251542707,0.47792187484572923,3.8131679726697905,False,False,True
