id,name,comment,rating,review_date
1,Manuel Garcia,gran personal josé muy atento y buena persona las clases son dinámicas y se respira un ambiente sano donde desconectas y te pones en forma,5,Hace 2 meses
2,Sofia Defrutos,mejor decisión que pude tomar fue apuntarme a distrito todas las clases son buenas y dinamicas los entrenadores estan pendientes de ayudarte a seguir mejorando en todo momento aparte hay super buen ambiente con todos los compañeros!!,5,Hace 3 semanas
3,Noemi Noemi ballestin,excelente box!! sara josé y carol siempre muy amables y atentos se nota que les importa el bienestar de los socios las instalaciones están en perfectas condiciones los baños y vestuarios muy limpios y el material de entrenamiento siempre ordenado y bien cuidado ¡da gusto entrenar en un lugar así!…,5,Hace un mes
4,Eva,la sensación al salir de distrito después de una clase es como la que sientes después he haber estado tomando cañas con unos buenos amigos la diferencia es que de aquí sales sudando y con cara de haber sufrido como nadie no solo te enseñan a entrenar duro sino que también te ayudan a creer en ti sobretodo cuando josé te pone el doble de peso del que has cogido añadido de una simple frase deja de llorar tú puedes coger más entonces es cuando rechistas lloras pero asumes que quizá jose lleve razón y si puedas coger un poquito más de peso y esto te lo aplicas a tu vida diaria y te das cuenta de que en distrito no solo te enseñan a entrenar sino que también te enseñan que puedes conseguir más de lo que crees en distrito me he reído he aprendido a colgarme de una barra poco porque soy un poco floja he hecho amigas he conocido a unos coach increíbles y me ha salido algún músculo que otro que pensé que no exisitia os animo a todos a que os apuntéis !,5,Hace 3 semanas
5,Carlota Quesada,es una pasada ir a entrenar a distrito 280 empezando por los profes que son unos profesionales de los pies a la cabeza y que siempre están pendientes de ti y de que hagas las cosas bien pasando por las instalaciones y acabando en la gente que conoces y con la que terminas haciendo piña y creando un rollo muy bueno! mil gracias por hacer un poquito menos duro el entrenar a las 7am! sois una pasada!,5,Hace 3 semanas
6,G.S,he ido a entrenar varias veces con aplicación externa y el trato recibido siempre ha sido muy agradable y cercano todo el equipo es súper amable y atento en especial carolina que siempre me ayuda en todo lo que necesito sonriente y muy profesional se nota que le gusta su trabajo instalaciones súper modernas y buen ambiente volveré!!!,5,Hace 2 meses
7,Carolina Elola,la familia distrito es eso familia! te escuchan te adaptan los ejercicios si tienes alguna lesión están atentos a cómo haces los ejercicios… es el lugar si estás buscando retomar y seguir apostando por tu salud!! no te pierdas las clases con josé y con caro que son amor!,5,Hace 3 semanas
8,Maria Lloret,instalaciones excelentes y clases muy dinámicas tres años y medio yendo a entrenar lo confirman el equipo es maravilloso carol sara josé y cualquiera de los estupendos profesionales con los que me cruzado todos estos años gracias,5,Hace 3 semanas
9,JOSE SUAREZ ALVAREZ,instalaciones estupendas cuenta con bastante material y monitores maravillosos que te ayudan a mejorar y te darán muchos tips en unos de los vídeos escucharán a la coach dando consejos y ánimos muy buen ambiente amplitud de horarios y variedad de clases tienda de ropa física y fisioterapeuta disponible para cualquier necesidad ¡todo un acierto para disfrutar haciendo deporte! volveré a distrito 280 sin duda,5,Hace 2 años
10,Massimo Banchi,muy buen gimnasio las clases con entrenos distinto cada vez buena música motivadora limpio con buenos grupos de trabajo y los monitores te siguen en cualquier momento os lo aconsejo!!!!!!,4,Hace 2 semanas
11,Alejandro Garzo,el sitio es increíble y sus entrenadoras más gracias a sara y alejandra por tremendas clases muy contento…,5,Hace 2 semanas
12,Sara Rodriguez,me encanta el ambiente y la preparación que te dan las clases son muy dinámicas y hay variedad entrenamientos intensos efectivos y muy variados,5,Hace 3 semanas
13,Ada Mora,es mi terapia y mi gimnasio me encanta y lo recomiendo un montón por que la pasas genial de verdad,5,Hace 2 semanas
14,Virginia García,genial en todos los aspectos desde el trato y profesionalidad de los monitores hasta instalaciones y material merece la pena invertir en un centro de entrenamiento así!,5,Hace 2 meses
15,Jorge Fuentes,excelente!!! ir a entrenar no da pereza y los coach animan a seguir!,5,Hace 2 semanas
16,Katherine Romero,sinceramente uno de los mejores lugares donde he hecho crossfit los instructores siempre te corrigen la posición lo cual para mí es súper importante ya que llevo poco haciendo crossfit además que te explican la técnica desde lo más básico hasta lo complejo y te dan tips el ambiente y las instalaciones están bien sin olvidar que tienes a disposición bastantes clases y siempre tienes cupo para entrar algo que agradezco inmensamente!!,5,Hace 8 meses
17,Rodrigo PG,un centro con entrenadores top e instalaciones acorde a ellos si quieres estar en forma este es tu sitio,5,Hace 3 semanas
18,Ignacio Colás,¡este gimnasio es una pasada! desde el primer día nos hicieron sentir súper a gusto y estuvieron súper atentos con todo el personal es simpatiquísimo y siempre están ahí para echarte una mano o darte ánimos las clases son súper variadas y los entrenadores saben cómo motivarte y hacer que lo des todo la app es muy fácil de usar y te deja reservar clases sin complicaciones los horarios son muy flexibles así que encaja genial con cualquier rutina el ambiente es súper agradable te sientes como en casa desde el principio ¡totalmente recomendable!,5,Hace un año
19,Fernando Fdez. Garcia,¡muy buen gimnasio para entrenar! lo pongo entre comillas porque no es un gimnasio al uso es un espacio en el que las clases son muy dinámicas en mi caso bootcamp y wod y donde los entrenadores se adaptan a tu nivel te enseñan y te van exigiendo más poco a poco para que te retes sitio 10 para darlo todo muy contento con la experiencia distriter,5,Hace 4 años
20,Sonsoles Jaraiz,todo el equipo de distrito clara del rey es maravilloso y muy profesional llevo más de un año yendo y desde el primer día me sentí acogida y motivada los entrenadores tienen un enfoque profesional y motivador creando un ambiente ideal para alcanzar objetivos las sesiones son desafiantes pero adaptadas a cada nivel sus conocimientos y dedicación se reflejan en resultados las instalaciones siempre impecables y la atención al cliente hacen que este gimnasio sea excepcional sin duda altamente recomendable!,5,Hace un año
21,Javier Rubio Iglesias,muy bueno!! los entrenamientos son variados y bastante demandantes los entrenadores te ayudan a ir adaptándote a los entrenamientos dependiendo de tu nivel y si eres constante progresas bien muy importante la dedicación y el trato amable y profesional de los monitores hay buen ambiente en las clases y se hacen bastantes fiestas para que la gente se conozca y se lleve bien yo llevo desde septiembre y noto el progreso estoy muy contento y recomiendo que quien esté interesado no se corte por no estar en plena forma y se meta porque realmente es de lo mejor que he probado en horarios tienen muchas opciones y especialmente lo de tener siempre clases entre semana a las 07 00am a mi me da la vida porque o es a esa hora o no puedo ir seguid así porque realmente marcáis la diferencia javier rubio,5,Hace un año
22,Sandra Fernandez Delobel,gimnasio muy recomendable sobretodo por los entrenadores los entrenamientos y clases son muy completos los entrenadores te motivan y te hacen mejorar y engancharte a este deporte especial mención a izan que como entrenador te hace mejorar te corrige y hace que sus clases sean amenas y se te pasen volando,5,Hace un año
23,Cris Rodríguez,¡mejor imposible! muy bien equipado y limpio el ambiente es motivador y los entrenadores son profesionales y atentos las clases se pasan volando ¡totalmente recomendable!,5,Hace 10 meses
24,Marta Zasadowska,he estado casi un año entrenando aquí y solo tengo palabras buenas si quieres sudar ponerte en forma evolucionar y además compartirlo con gente muy cualificada y sobretodo dispuesta a ayudar y aconsejar definitivamente este es tu sitio,5,Hace 7 meses
25,Leyanes Diaz López,distrito es una linda familia cada uno de los entrenadores se esfuerzan por mantener un ambiente feliz mucha buena vibra una vez q que lo pruebas no puedes vivir sin los entrenamientos gracias por ayudarnos a cumplir metas y llenarnos de energías,5,Fecha de edición: Hace un año
26,sara romero marcos,excelente gimnasio con distintas modalidades de clases dirigidas en las que los profesionales te ayudan y te enseñan las técnicas para aprender y aprovechar al máximo los entrenamientos las clases son muy divertidas a la vez que intensas adaptadas a cada persona y los entrenadores muy simpáticos las instalaciones también están genial y cuentan con todo el material imprescindible sin duda lo recomiendo 100 !!,5,Hace 4 años
27,Ainara Dolmen,excelente experiencia! vas logrando poco a poco ejercicios que antes no podías gracias a los entrenadores también tienen diferentes clases para no aburrirte,5,Hace 7 meses
28,Jaime Vaquero Martin,llevaba años apuntado a gimnasios tradicionales sin conseguir ir de forma regular por aburrimiento distrito es totalmente diferente desde que me apunté no me pierdo ninguna clase y voy con ganas todos en el equipo son encantadores y muy profesionales siempre me había dado miedo hacer este tipo de entrenamientos por posibles lesiones pero en clase siempre están muy atentos y te corrigen enseguida si algo no estás haciendo bien se nota la mejora rápidamente pero siempre sigues teniendo mucho que mejorar por lo que sigues motivado y las clases cambian todos los días y nunca te aburres ni se hace repetitivo el espacio está genial con material siempre en perfecto estado y muy cuidado tiene muchas opciones de horarios y diferentes tipos de entrenamiento un 10 en todo sobre todo el equipo ¡100 recomendable!,5,Hace 2 años
29,Alberto V,excelente gimnasio está muy bien equipado con todo lo necesario para un entrenamiento efectivo lo que más me impresionó fue la profesionalidad y simpatía de los monitores siempre están dispuestos a brindar orientación y apoyo personalizado ¡altamente recomendado para cualquiera que busque un lugar donde hacer deporte y divertirse!,5,Hace 2 años
30,Jaime Perez,vine a madrid para dos meses y me apunté sin conocerlo no podía haber elegido mejor clases no masificadas buena variedad de horario y los entrenadores están todo el rato pendientes de corregirte además muy buen rollo entre la gente y el personal me voy muy contento,5,Hace un año
31,Ericka Martinez,es una maravilla de centroooo y sus instalaciones son muy bonitas todo muy ordenado el ambiente de 10 10! los coaches súper majos pero carol es simplemente mi fav! …,5,Hace 3 años
32,Katheryne Perez,estoy muy encanta con el gimnasio sus instalaciones y equipamiento están muy bien cuidados las clases son muy divertidas y los entrenadores siempre están atentos para ayudarte o aconsejarte vamos que son unos profesionales!!! se respira muy buen ambiente te sientes integrada desde el primer momento en definitiva lo recomiendo al 100,5,Hace 3 años
33,Maria Rubio Martin,totalmente recomendable! nunca pensé que me gustaría entrenar y ahora vengo 4días por semana entrenos amenos divertidos y adaptados al nivel instalaciones impecables y material muy variado y si los entrenamientos son de 10 los coach y los compañeros ya son de 20 por lo menos te hacen sentir parte del equipo desde el minuto uno para mi ha sido un acierto! gracias por acogerme,5,Hace un año
